year,city,country,avg_Lagos_temp,avg_global_temp,MV_avg_Lagos_temp,MV_avg_global_temp
1873,Lagos,Nigeria,26.46,8.35,#N/A,#N/A
1874,Lagos,Nigeria,26.08,8.43,#N/A,#N/A
1875,Lagos,Nigeria,25.82,7.86,#N/A,#N/A
1876,Lagos,Nigeria,25.82,8.08,#N/A,#N/A
1877,Lagos,Nigeria,26.35,8.54,#N/A,#N/A
1878,Lagos,Nigeria,26.26,8.83,#N/A,#N/A
1879,Lagos,Nigeria,25.67,8.17,#N/A,#N/A
1880,Lagos,Nigeria,26.14,8.12,#N/A,#N/A
1881,Lagos,Nigeria,26.39,8.27,#N/A,#N/A
1882,Lagos,Nigeria,26.01,8.13,#N/A,#N/A
1883,Lagos,Nigeria,26.42,7.98,#N/A,#N/A
1884,Lagos,Nigeria,26.43,7.77,#N/A,#N/A
1885,Lagos,Nigeria,26.01,7.92,#N/A,#N/A
1886,Lagos,Nigeria,25.87,7.95,#N/A,#N/A
1887,Lagos,Nigeria,25.09,7.91,#N/A,#N/A
1888,Lagos,Nigeria,25.42,8.09,#N/A,#N/A
1889,Lagos,Nigeria,25.34,8.32,#N/A,#N/A
1890,Lagos,Nigeria,24.86,7.97,#N/A,#N/A
1891,Lagos,Nigeria,25.29,8.02,#N/A,#N/A
1892,Lagos,Nigeria,25.49,8.07,25.861,8.139
1893,Lagos,Nigeria,25.67,8.06,25.8215,8.1245
1894,Lagos,Nigeria,25.59,8.16,25.797,8.111
1895,Lagos,Nigeria,25.92,8.15,25.802,8.1255
1896,Lagos,Nigeria,25.87,8.21,25.8045,8.132
1897,Lagos,Nigeria,26.29,8.29,25.8015,8.1195
1898,Lagos,Nigeria,25.79,8.18,25.778,8.087
1899,Lagos,Nigeria,26.31,8.4,25.81,8.0985
1900,Lagos,Nigeria,26.42,8.5,25.824,8.1175
1901,Lagos,Nigeria,26.53,8.54,25.831,8.131
1902,Lagos,Nigeria,26.09,8.3,25.835,8.1395
1903,Lagos,Nigeria,25.68,8.22,25.798,8.1515
1904,Lagos,Nigeria,25.48,8.09,25.7505,8.1675
1905,Lagos,Nigeria,26.16,8.23,25.758,8.183
1906,Lagos,Nigeria,26.21,8.38,25.775,8.2045
1907,Lagos,Nigeria,25.96,7.95,25.8185,8.2065
1908,Lagos,Nigeria,26.15,8.19,25.855,8.2115
1909,Lagos,Nigeria,26.08,8.18,25.892,8.2045
1910,Lagos,Nigeria,26.13,8.22,25.9555,8.217
1911,Lagos,Nigeria,25.72,8.18,25.977,8.225
1912,Lagos,Nigeria,26.17,8.17,26.011,8.23
1913,Lagos,Nigeria,26.65,8.3,26.06,8.242
1914,Lagos,Nigeria,26.75,8.59,26.118,8.2635
1915,Lagos,Nigeria,26.81,8.59,26.1625,8.2855
1916,Lagos,Nigeria,26.6,8.23,26.199,8.2865
1917,Lagos,Nigeria,26.96,8.02,26.2325,8.273
1918,Lagos,Nigeria,26.41,8.13,26.2635,8.2705
1919,Lagos,Nigeria,26.7,8.38,26.283,8.2695
1920,Lagos,Nigeria,26.72,8.36,26.298,8.2625
1921,Lagos,Nigeria,26.77,8.57,26.31,8.264
1922,Lagos,Nigeria,26.73,8.41,26.342,8.2695
1923,Lagos,Nigeria,26.63,8.42,26.3895,8.2795
1924,Lagos,Nigeria,26.95,8.51,26.463,8.3005
1925,Lagos,Nigeria,26.64,8.53,26.487,8.3155
1926,Lagos,Nigeria,26.97,8.73,26.525,8.333
1927,Lagos,Nigeria,26.88,8.52,26.571,8.3615
1928,Lagos,Nigeria,26.75,8.63,26.601,8.3835
1929,Lagos,Nigeria,26.48,8.24,26.621,8.3865
1930,Lagos,Nigeria,26.84,8.63,26.6565,8.407
1931,Lagos,Nigeria,26.85,8.72,26.713,8.434
1932,Lagos,Nigeria,26.46,8.71,26.7275,8.461
1933,Lagos,Nigeria,26.93,8.34,26.7415,8.463
1934,Lagos,Nigeria,26.89,8.63,26.7485,8.465
